Index,Object,Intent,Session,GraspType,GraspTypeIndex,Rank,Error,PoseIndex,HandConfiguration,Image
0,apple,handoff,1,Precision,6,1,-0.23533200000000001,1230,"0,0.191684,0.88951,-0.414762,0.0432438,0.59936,0.228553,0.767158,-0.088856,0.77719,-0.395644,-0.489327,0.0880652,0.337026,1.09121,0.649339,0.995485",screenshots/apple_1_handoff.png
1,apple,handoff,2,Power Sphere,4,1,-0.131332,292,"0,-0.767352,-0.137501,0.626308,-0.0335686,-0.60271,-0.178745,-0.777683,0.0305656,0.218882,-0.97424,0.0542872,0.0369994,1.34578,1.14415,1.42914,1.12717",screenshots/apple_2_handoff.png
2,apple,handoff,3,Power Sphere,4,1,-0.060285999999999999,1036,"0,-0.335542,0.907298,0.25342,-0.0116043,0.374794,0.375385,-0.847712,0.0366309,-0.864257,-0.189462,-0.466007,0.064476,1.22395,1.20694,1.40841,1.36028",screenshots/apple_3_handoff.png
3,apple,handoff,4,Power Sphere,4,1,-0.073938000000000004,1764,"0,-0.0621113,0.162472,0.984756,-0.0485189,0.187109,-0.967272,0.171389,-0.0226658,0.980373,0.194901,0.0296784,0.0611999,5.17224e-05,1.02071,1.32065,1.0321",screenshots/apple_4_handoff.png
4,apple,handoff,5,Power Sphere,4,1,-0.22726499999999999,60,"0,0.442431,-0.24597,0.862411,-0.0419117,0.88996,0.00185342,-0.456036,0.00209644,0.110573,0.969275,0.219723,0.0190396,1.37417,1.33443,0.969705,1.23237",screenshots/apple_5_handoff.png
5,apple,handoff,6,Power Sphere,4,1,0.037555999999999999,632,"0,-0.18026,-0.78884,0.587568,-0.0225481,-0.78845,0.47303,0.393179,-0.0364868,-0.588092,-0.392393,-0.70723,0.0658362,1.10532,1.1274,1.27136,1.35311",screenshots/apple_6_handoff.png
6,apple,handoff,7,Power Sphere,4,1,-0.10957799999999999,1612,"0,0.514543,0.744181,0.425956,-0.0125142,0.05449,-0.524136,0.849889,-0.0371596,0.855731,-0.414095,-0.310241,0.0650665,1.67362,1.50928,1.09543,1.25706",screenshots/apple_7_handoff.png
7,apple,handoff,8,Power Sphere,4,1,-0.14880699999999999,2508,"0,-0.154071,0.987258,0.0397892,-0.0216058,0.674657,0.134537,-0.725766,0.0453211,-0.721872,-0.0849758,-0.686789,0.0624834,1.43123,1.21741,1.34978,1.3165",screenshots/apple_8_handoff.png
8,apple,handoff,9,Power Sphere,4,1,-0.029436,1260,"0,-0.492333,0.87025,-0.0164613,-0.00963731,0.36693,0.190362,-0.910563,0.0457437,-0.789284,-0.454341,-0.413043,0.052653,1.04699,1.16635,1.39106,1.40036",screenshots/apple_9_handoff.png
50,apple,use,1,Power Sphere,4,1,-0.13766600000000001,1148,"0,0.0395521,-0.984838,0.168901,-0.00979873,-0.553992,-0.162288,-0.816551,0.0413519,0.831582,-0.0612737,-0.552012,0.0678587,1.47872,1.40959,0.770847,1.26493",screenshots/apple_1_use.png
51,apple,use,2,Power Sphere,4,1,-0.096062999999999996,292,"0,-0.569188,-0.569666,0.59288,-0.0200628,-0.399858,-0.43828,-0.804999,0.0486275,0.718428,-0.695263,0.0216786,0.0326529,1.46634,1.33907,0.811314,1.30086",screenshots/apple_2_use.png
52,apple,use,3,Power Sphere,4,1,-0.198743,780,"0,-0.270437,0.440907,-0.855843,0.0375157,0.578228,-0.636381,-0.510559,0.0302359,-0.769751,-0.632945,-0.0828438,0.0549082,1.39395,1.4279,1.21698,1.24775",screenshots/apple_3_use.png
53,apple,use,4,Power Sphere,4,1,-0.13480200000000001,1816,"0,-0.402225,-0.429514,0.808538,-0.0391725,0.228315,0.808168,0.542897,-0.0358616,-0.886616,0.402968,-0.227001,0.0357874,1.15379,1.17024,1.31919,1.36057",screenshots/apple_4_use.png
54,apple,use,5,Power Sphere,4,1,-0.15324599999999999,1856,"0,-0.772682,0.561803,-0.295533,-0.0111596,0.539948,0.826468,0.159388,-0.0148855,0.333794,-0.036416,-0.941943,0.085825,1.37204,1.16575,1.43144,1.34203",screenshots/apple_5_use.png
56,apple,use,7,Precision,6,1,-0.10487200000000001,713,"0,0.23426,0.881198,0.410624,-0.0473021,0.971951,-0.203231,-0.118362,0.0245973,-0.0208491,0.426834,-0.904089,0.109764,0.0165122,1.04815,0.893316,1.18639",screenshots/apple_7_use.png
57,apple,use,8,Power Sphere,4,1,-0.088057999999999997,1148,"0,-0.150762,-0.93446,0.322572,-0.0149266,-0.618148,-0.165531,-0.768435,0.0332053,0.771468,-0.315248,-0.552679,0.0773896,1.50416,1.50172,0.617945,1.24624",screenshots/apple_8_use.png
100,banana,handoff,1,Precision,6,5,-0.227433,2786,"4,0.970869,-0.104688,-0.215531,0.0483216,-0.216416,0.00296661,-0.976296,0.112147,0.102846,0.994501,-0.0197758,0.0531067,0,1.14698,1.27565,1.09751",screenshots/banana_1_handoff.png
101,banana,handoff,2,Power Sphere,4,1,0.036893000000000002,1788,"0,0.203516,0.716736,-0.666986,0.0894385,-0.539249,-0.486544,-0.687375,0.013971,-0.817184,0.499564,0.28748,0.013959,0.481262,2.50813,1.51318,2.01279",screenshots/banana_2_handoff.png
102,banana,handoff,3,Precision Sphere,5,2,0.007293,744,"1,-0.000119617,-0.999681,0.0252343,0.0214322,-0.47365,-0.0221676,-0.880435,0.0661475,0.880713,-0.0120577,-0.473496,0.0538386,0.0604943,0.399472,0.387655,0.769373",screenshots/banana_3_handoff.png
103,banana,handoff,4,Precision,6,1,-0.11934599999999999,1251,"0,0.912485,0.3644,0.185962,0.016534,-0.220554,0.821013,-0.526585,0.0836364,-0.344566,0.439487,0.829533,-0.0535957,0.0157293,1.26416,1.32134,1.20459",screenshots/banana_4_handoff.png
104,banana,handoff,5,Precision Sphere,5,1,0.108651,2061,"0,0.00254668,-0.580335,0.814374,-0.119092,0.944093,-0.267081,-0.193278,0.0559453,0.32967,0.769337,0.54721,-0.0384519,0.0412709,1.37242,1.01331,1.29154",screenshots/banana_5_handoff.png
105,banana,handoff,6,Small Wrap,3,1,0.11354400000000001,788,"0,-0.383326,0.442838,-0.810528,0.0966826,0.74803,-0.365904,-0.553683,-0.00310409,-0.541768,-0.81854,-0.190996,0.0406019,0.176829,1.97095,1.28417,2.25571",screenshots/banana_6_handoff.png
106,banana,handoff,7,Precision Sphere,5,1,0.099160999999999999,744,"0,0.0235863,-0.995622,0.0904388,0.0154709,-0.543364,-0.0887022,-0.834798,0.0600931,0.839166,-0.0294514,-0.543077,0.0600619,0,0.46992,0.185471,0.745207",screenshots/banana_7_handoff.png
107,banana,handoff,8,Precision,6,5,-0.027640999999999999,1211,"4,-0.134383,0.356584,-0.924548,0.152756,-0.814141,-0.571615,-0.102128,0.0387244,-0.564903,0.738988,0.367125,-0.000936407,0.0854484,1.17671,2.12318,1.19504",screenshots/banana_8_handoff.png
108,banana,handoff,9,Small Wrap,3,1,-0.0083719999999999992,732,"0,-0.10803,0.897073,0.428473,0.0525055,-0.874593,-0.290677,0.388066,-0.0163187,0.472671,-0.332816,0.815976,0.0238269,0.326611,2.2346,1.89962,2.10079",screenshots/banana_9_handoff.png
